"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.889830550E-1,-2.047108412E-1,4.047861099E-1,6.632951498E-1,8.035662879E-1
4.970091780E-1,-1.192116737E-1,5.154323578E-2,1.007308125E0,1.015646488E0
5.050047830E-1,-1.747952700E-1,-2.510938644E-1,1.193364978E0,1.231958394E0
5.130003890E-1,-2.151855230E-1,-4.380464554E-1,1.027905583E0,1.137883735E0
5.209654770E-1,-3.786722422E-1,-5.187950134E-1,6.473242044E-1,9.119043583E-1
5.289610820E-1,-4.906704426E-1,-5.798864365E-1,2.881613970E-1,8.124424614E-1
5.369872050E-1,-4.581267834E-1,-7.266092300E-1,2.300856113E-1,8.892584053E-1
5.449828110E-1,-3.808404207E-1,-7.823591232E-1,3.122740984E-1,9.244675961E-1
5.529784160E-1,-3.796021938E-1,-7.524003983E-1,2.324754000E-1,8.742133587E-1
5.609740220E-1,-1.974443197E-1,-7.255172729E-1,9.834480286E-2,7.583081649E-1
5.689696270E-1,-3.765821457E-4,-6.968727112E-1,1.316074133E-1,7.091912497E-1
5.769347150E-1,1.330431700E-1,-6.089630127E-1,1.862506866E-1,6.505580329E-1
5.849303200E-1,2.405908108E-1,-4.545669556E-1,3.310956955E-1,6.116693673E-1
5.929259260E-1,3.197096586E-1,-3.342752457E-1,3.626761436E-1,5.877824350E-1
6.009215310E-1,4.778725505E-1,-1.502246857E-1,6.209611893E-2,5.047628737E-1
6.089171370E-1,4.793319106E-1,-3.388786316E-2,-3.600890636E-1,6.004761457E-1
6.169127420E-1,5.495759249E-1,-6.377029419E-2,-7.147649527E-1,9.038745959E-1
6.249083480E-1,5.328159928E-1,-3.360843658E-2,-9.776849151E-1,1.113952514E0
6.329039530E-1,2.559725046E-1,1.805114746E-2,-1.119325638E0,1.148363031E0
6.408690410E-1,-4.905939102E-2,1.293640137E-1,-9.499706626E-1,9.599927769E-1
6.488646470E-1,-3.025665283E-1,2.646074295E-1,-6.233761311E-1,7.417286543E-1
6.568907700E-1,-3.222532272E-1,3.687496185E-1,-2.496291399E-1,5.496709298E-1
6.648863750E-1,-2.590383291E-1,4.897527695E-1,-2.071642876E-2,5.544256502E-1
