"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.496028000E-1,-2.966664732E-2,-3.628516197E-2,7.927894592E-3
7.596028000E-1,-3.025308251E-2,-4.894757271E-2,1.631546021E-2
7.696028000E-1,-2.602589130E-2,-4.963970184E-2,6.540870667E-2
7.796028000E-1,-2.131465077E-2,-5.305981636E-2,1.168050766E-1
7.896028000E-1,-3.869770467E-2,-3.566527367E-2,1.902761459E-1
7.996028000E-1,-3.869770467E-2,-3.566527367E-2,1.902761459E-1
8.096028000E-1,-1.695957780E-2,-3.518652916E-2,1.815977097E-1
8.196028000E-1,-1.695957780E-2,-3.518652916E-2,1.815977097E-1
8.296028000E-1,-2.910971642E-3,-8.138418198E-3,3.671646118E-3
8.396028000E-1,-1.547618210E-2,-9.605646133E-3,-1.688957214E-2
8.496028000E-1,-1.547618210E-2,-9.605646133E-3,-1.688957214E-2
8.596028000E-1,-3.413887322E-2,-7.638931274E-4,-7.503509521E-2
8.696028000E-1,-3.413887322E-2,-7.638931274E-4,-7.503509521E-2
8.796028000E-1,-3.370663524E-2,-6.001067162E-2,4.636631012E-1
8.896028000E-1,-1.881925762E-2,-6.094002724E-2,4.186239243E-1
8.996028000E-1,-1.881925762E-2,-6.094002724E-2,4.186239243E-1
9.096028000E-1,4.653486609E-2,-2.546334267E-2,-1.172618866E-1
9.196028000E-1,3.935226053E-2,-3.504014015E-2,-1.747226715E-1
9.296028000E-1,3.434747458E-3,-4.288125038E-2,-1.687192917E-1
9.396028000E-1,-1.658754051E-2,-7.594370842E-2,-8.334350586E-2
9.496028000E-1,-1.658754051E-2,-7.594370842E-2,-8.334350586E-2
9.596028000E-1,-2.384153008E-2,-5.733227730E-2,2.177820206E-1
9.696028000E-1,-8.492752910E-3,-1.428818703E-2,1.969642639E-1
9.796028000E-1,1.430830359E-2,2.787399292E-2,1.447572708E-1
9.896028000E-1,8.252069354E-3,3.798222542E-2,7.866954803E-2
9.996028000E-1,8.252069354E-3,3.798222542E-2,7.866954803E-2
1.009602800E0,-1.640343666E-2,3.656339645E-2,1.092319489E-1
1.019602800E0,-1.536825299E-2,1.899051666E-2,1.248340607E-1
1.029602800E0,-1.536825299E-2,1.899051666E-2,1.248340607E-1
1.039602800E0,-1.536825299E-2,1.899051666E-2,1.248340607E-1
1.049602800E0,-1.536825299E-2,1.899051666E-2,1.248340607E-1
1.059602800E0,-3.101778030E-2,-5.134916306E-2,6.896972656E-2
1.069602800E0,-3.101778030E-2,-5.134916306E-2,6.896972656E-2
1.079602800E0,-7.287994027E-2,-7.777619362E-2,1.174631119E-1
1.089602800E0,-7.287994027E-2,-7.777619362E-2,1.174631119E-1
1.099602800E0,-7.659980655E-2,-7.048606873E-2,1.285800934E-1
1.109602800E0,-5.784590542E-2,-6.921815872E-2,9.619617462E-2
1.119602800E0,-2.703398466E-2,-7.008910179E-2,1.110315323E-1
1.129602800E0,-2.974072099E-2,-5.444145203E-2,1.066379547E-1
1.139602800E0,-2.756898105E-2,-5.798125267E-2,1.213893890E-1
1.149602800E0,-2.756898105E-2,-5.798125267E-2,1.213893890E-1
1.159602800E0,-1.932147145E-2,-2.345323563E-2,1.679191589E-1
1.169602800E0,-2.489893138E-2,-1.281356812E-2,1.826038361E-1
1.179602800E0,-2.330665290E-2,2.567768097E-3,1.398134232E-1
1.189602800E0,-6.498843431E-4,-1.048135757E-2,-5.222606659E-2
1.199602800E0,-7.832482457E-3,-3.202915192E-2,-1.631259918E-2
1.209602800E0,-1.556427777E-2,-4.064273834E-2,9.486579895E-2
1.219602800E0,7.395237684E-3,-3.273701668E-2,1.532897949E-1
1.229602800E0,4.122257233E-2,-2.839875221E-2,1.067380905E-1
1.239602800E0,3.997072577E-2,-2.455496788E-2,7.604980469E-2
1.249602800E0,2.947521955E-2,-2.065086365E-2,4.059696198E-2
1.259602800E0,3.138058633E-2,-6.826400757E-3,5.793476105E-2
1.269602800E0,3.138058633E-2,-6.826400757E-3,5.793476105E-2
1.279602800E0,3.138058633E-2,-6.826400757E-3,5.793476105E-2
1.289602800E0,2.428461611E-2,9.534835815E-3,1.326255798E-1
1.299602800E0,2.138093114E-2,-1.012444496E-2,1.427917480E-1
1.309602800E0,-1.033370197E-2,-2.149844170E-2,1.317596436E-1
1.319602800E0,-7.366240025E-4,-3.738212585E-2,1.320371628E-1
1.329602800E0,-1.253925264E-2,-4.624533653E-2,1.418437958E-1
1.339602800E0,-2.410186827E-2,-6.041193008E-2,1.299428940E-1
1.349602800E0,-2.410186827E-2,-6.041193008E-2,1.299428940E-1
1.359602800E0,-3.938481212E-2,-6.080150604E-2,8.435153961E-2
1.369602800E0,-3.938481212E-2,-6.319570541E-2,6.519794464E-2
