"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.841270290E-1,6.474532187E-3,6.332206726E-2,1.251306534E-1,1.403897581E-1
4.921531520E-1,2.064355835E-2,4.832291603E-2,1.560764313E-1,1.646848904E-1
5.001487580E-1,3.218726814E-2,2.595686913E-2,1.486625671E-1,1.543059887E-1
5.080833280E-1,2.491805702E-2,1.020312309E-2,1.650333405E-1,1.672154800E-1
5.161094510E-1,6.168551743E-3,-6.290912628E-3,1.692314148E-1,1.694606101E-1
5.241355740E-1,-2.344498783E-2,-2.617526054E-2,1.779479980E-1,1.813844032E-1
5.321006620E-1,-2.871710062E-2,-3.481864929E-2,1.577367783E-1,1.640667590E-1
5.400962670E-1,-5.100778490E-2,-5.134248734E-2,1.445131302E-1,1.616226776E-1
5.481223900E-1,-6.399744004E-2,-4.927754402E-2,1.383161545E-1,1.601727420E-1
5.560874780E-1,-8.007836342E-2,-5.207419395E-2,1.177320480E-1,1.516083807E-1
5.640830840E-1,-7.270086557E-2,-4.761314392E-2,1.091384888E-1,1.395121395E-1
5.720481720E-1,-5.613465607E-2,-2.382349968E-2,9.341049194E-2,1.115534793E-1
5.800437770E-1,-3.004402667E-2,-1.192188263E-2,8.489036560E-2,9.083583542E-2
5.880699000E-1,-1.102757454E-2,5.993843079E-4,9.330272675E-2,9.395406048E-2
5.960655060E-1,2.944543958E-3,-1.089096069E-3,8.739185333E-2,8.744822753E-2
6.040611110E-1,2.167051286E-2,1.181864738E-2,9.351825714E-2,9.672102136E-2
6.120872340E-1,2.810414135E-2,8.757114410E-4,5.417728424E-2,6.103923131E-2
6.200523220E-1,4.620154202E-2,1.216220856E-2,-1.737594604E-3,4.780712329E-2
6.280174100E-1,3.335479274E-2,1.665687561E-2,1.076564789E-1,1.139294130E-1
6.360435330E-1,3.018910810E-2,8.837699890E-3,1.414203644E-1,1.448765221E-1
6.440086210E-1,2.300650626E-2,1.362609863E-2,1.486024857E-1,1.509889686E-1
6.520042260E-1,3.852888942E-3,6.443500519E-3,4.804611206E-2,4.862913053E-2
6.599998320E-1,2.255396545E-2,-2.825975418E-3,-3.871440887E-2,4.489401908E-2
6.679954370E-1,2.477600425E-2,-8.944511414E-3,-3.668212891E-2,4.516008472E-2
6.759605250E-1,7.988646626E-3,-4.342389107E-2,1.812458038E-2,4.772790802E-2
6.839866480E-1,1.256727800E-2,-6.316328049E-2,1.089439392E-1,1.265555940E-1
6.919212190E-1,3.823730350E-2,-7.834839821E-2,1.805419922E-1,2.004893359E-1
6.999168240E-1,3.479987755E-2,-7.523679733E-2,1.776876450E-1,1.960727067E-1
7.079429470E-1,4.350677133E-2,-7.503271103E-2,1.363878250E-1,1.616303984E-1
7.159385530E-1,1.659543440E-2,-8.022665977E-2,8.774280548E-2,1.200438474E-1
7.239341580E-1,-1.243942976E-2,-6.627678871E-2,4.867553711E-2,8.316645987E-2
